address,outgoing_volume_USD,incoming_volume_USD,total_volume_USD,unique_interactions,tx_count,tx_per_hour,active_days,is_large_cluster,interaction_volume_USD,prediction
0x50b0aabf36b21e72add83b8904cb52bfe0171f66,3.6982608695652175,5.7669999999999995,9.465260869565217,26,33,1.434782608695652,211.32180555555556,0,246.09678260869563,0
0x4e29fa717fb61753e26885421b84ff7e06df585e,0.5886940639269407,40.58281553398058,41.17150959790752,701,1198,1.6546961325966851,122.6855787037037,0,28861.22822813317,1
0x5507dbd48a5a5bace8a6030e878cc4e0af147c33,19.87758064516129,4.088147013782542,23.965727658943834,167,839,3.007168458781362,458.90239583333334,0,4002.2765190436203,0
0xd9185e233575f4e0d0e83159fdc6dfe9107bbf4d,19.341081081081082,33.030422535211265,52.371503616292344,64,182,1.6545454545454545,559.047349537037,1,3351.77623144271,0
0xd2578c95c2daf87e7542d4c305c95cef01295877,14.913381642512078,31.176000000000002,46.08938164251208,99,317,1.3663793103448276,584.8508912037037,1,4562.848782608696,0
0x81e877dd467f65b79aff559a8fafed6e95f01ad8,67.66319634703196,68.42266968325792,136.08586603028988,102,440,1.9047619047619047,389.2333564814815,0,13880.758335089567,0
0x6648d39dd323adc816cadcada011d2c497c5257b,79.1087037037037,123.8094366197183,202.918140323422,74,179,1.79,561.0341319444444,1,15015.942383933227,0
0xfd7bd29e1050932829c1fc080ea42d7394c42847,85.07135135135135,131.2425,216.31385135135136,42,182,1.9782608695652173,394.2222337962963,0,9085.181756756758,0
0xeafb1a7bb2da730911e246ba071a59551d581a40,37.909516129032255,57.36214285714286,95.27165898617511,39,104,2.2127659574468086,393.0767476851852,0,3715.5947004608292,0
0xf1e7dbe363dcb884b2d860e7dd7b3a675486e5ee,1387.0618181818181,1287.48875,2674.550568181818,11,19,2.111111111111111,433.5125,0,29420.056249999998,0
0xdadae0f1236a356273bc0e9054659fd422a21f54,8.92725,13.417666666666667,22.34491666666667,37,70,1.4,229.08476851851853,1,826.7619166666668,0
0xff95a9f63abd56d72e635a75939f22a3b4065c4e,14.233846153846153,82.88142857142857,97.11527472527473,37,46,1.9166666666666667,221.68880787037037,0,3593.265164835165,0
0xf63361925255c17c53e2303ce167145d4cbd0c9c,20.98235294117647,40.30555555555556,61.28790849673203,15,26,1.7333333333333334,143.10158564814816,1,919.3186274509804,0
0xefd763902f9e303c24890d4e9f3fc615f0afebe1,9.631363636363636,24.623157894736845,34.25452153110048,60,126,1.8529411764705883,242.31097222222223,0,2055.2712918660286,0
0xd6ca66a00997a2038a6dc7304131a40f48268f77,77.1310460251046,187.7827272727273,264.9137732978319,58,338,3.1296296296296298,266.8907638888889,1,15364.99885127425,0
0x6b013273f122ca5a8787c5c4892e449b6b4bc728,21.90888888888889,25.32,47.22888888888889,22,34,1.7894736842105263,428.6453935185185,0,1039.0355555555557,0
0x9de4f17cd0423c36d057809a74cd25ac7c4df35f,8.920000000000002,19.0725,27.992500000000003,10,12,1.7142857142857142,34.15898148148148,0,279.925,0
0x55dd7d8db617e34c37b43db2e1ef154e2558c6df,17.145136612021858,35.21084210526316,52.35597871728502,88,278,1.5617977528089888,386.3575231481482,1,4607.326127121081,0
0xfcba88ee3480cd7419a3eba8559d54ed609e86ea,28.92908256880734,84.38430379746835,113.3133863662757,110,297,1.6779661016949152,589.3018171296296,1,12464.472500290327,0
0xb22dfc8eb2f8c32e745e4bf6b9ca71c84c628ff5,10.909016393442622,20.313185840707963,31.222202234150586,97,296,1.6818181818181819,544.911875,0,3028.553616712607,0
0x9e602c1920443f01cb100a57a7f894df8eb42f66,26.36256880733945,42.11315068493151,68.47571949227097,75,182,1.5826086956521739,530.9687731481481,1,5135.678961920323,0
